variant,sharpe,cagr_pct,maxdd_pct,profit_factor,trades
"default (te=20d, tx=5d)",1.54,26.3,-9.2,4.51,130
t_entry=5d,1.57,30.2,-12.0,3.17,198
t_entry=10d,1.49,26.4,-12.0,3.45,171
t_entry=15d,1.49,25.6,-10.7,3.91,147
t_exit=2.5d,1.34,18.5,-8.1,3.34,155
t_exit=4d,1.44,22.9,-8.9,4.19,136
t_exit=7d,1.64,34.6,-15.1,5.14,121
t_exit=10d,1.52,31.8,-15.1,5.25,113
regime_on=0.5,1.53,26.2,-9.4,4.37,134
regime_on=1.5,1.38,21.9,-11.1,4.09,132
regime_on=2.0,1.39,22.0,-10.9,4.26,130
ema=3/12d,1.46,24.1,-9.3,4.18,135
ema=7/30d,1.51,25.0,-10.6,5.1,112
ema=10/40d,1.53,25.0,-10.0,5.37,110
stop_atr=2.0,1.38,26.9,-13.2,3.66,154
stop_atr=3.0,1.5,21.3,-8.3,4.24,124
stop_atr=3.5,1.48,18.0,-6.7,4.28,115
